album_id,album_name,album_type,artist_id,artist_name,rank_position,track_duration,track_id,track_name,track_number,track_popularity,track_type,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,valence
3PYk8e7eo2t5CA1Y3AvhaG,Home of the Strange,ALBUM,4j56EQDQu5XnL7R3E9iFJT,Young the Giant,1,185200,7w5Ww1cW8U9v8Q3g4qLpVD,Repeat,7,54,track,0.0454,0.656,185200,0.806,2.33e-05,1,0.341,-5.354,1,0.0433,149.975,4,audio_features,0.572
7ppypgQppMf3mkRbZxYIFM,Shrines,ALBUM,1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,2,209760,5KeyVNymqfqac1wLDseK8v,Fineshrine,2,60,track,0.018,0.609,209760,0.798,8.68e-06,5,0.434,-4.448,0,0.0404,130.034,4,audio_features,0.401
5qA9yoz0W5eHKYOr45Rkc4,VEGA INTL. Night School,ALBUM,0KydPQPUUoTNhmiHKOg5Er,Neon Indian,3,242187,0GaDEH6o2nxvqRPqNTCtET,Annie,2,46,track,0.0233,0.738,242188,0.849,0.0317,2,0.309,-6.246,1,0.0822,95.987,4,audio_features,0.872
4FzGaxbu2iYYrpveOcAv6M,Ode to Sunshine,ALBUM,1xVWSPiw5B0OduIC0DSu3V,Delta Spirit,4,248453,7g0GfASMkJ7nh38LIy5051,Strange Vine,5,31,track,0.218,0.428,248453,0.782,0.0,11,0.114,-4.981,1,0.0382,121.906,4,audio_features,0.619
3oojD5xyZgkypVSl7vasZH,Pulsing,ALBUM,5hpBysnp54w1yxvpw2WhAF,Tomas Barfod,5,206280,7CaJXGCTp6NNvQiCyMCAT1,Pulsing (feat. Nina K),1,36,track,0.228,0.362,206280,0.54,0.388,4,0.116,-10.569,0,0.0388,121.027,4,audio_features,0.227
4NZWRpoMuXaHU7csTjWdB5,Skin,ALBUM,6nxWCVXbOlEVRexSbLsTer,Flume,6,234909,5WI2ltQIdwgzf1SNE76JyR,Never Be Like You (feat. Kai),2,71,track,0.453,0.444,234910,0.557,0.0,0,0.152,-5.476,1,0.0602,115.058,4,audio_features,0.296
4ymjpcGruNuUUUZOeGawLe,another eternity,ALBUM,1TtJ8j22Roc24e2Jx3OcU4,Purity Ring,7,173213,2DopRU3QWz4CWymUUrKvO4,bodyache,2,58,track,0.145,0.646,173214,0.657,5.7e-05,0,0.459,-5.3,1,0.0628,139.99,4,audio_features,0.413
6XKPE44gfP58IM9PD28YBB,Be Right There,SINGLE,5fMUXHkw8R8eOP2RNVYEZX,Diplo,8,237051,2egKQvoHiCJyHXn8lRlsrl,Be Right There,1,64,track,0.00259,0.695,237051,0.797,0.112,7,0.664,-5.199,1,0.0548,124.972,4,audio_features,0.297
4ncZdrGiO459vrUU1yYCCA,Plural,ALBUM,7sgWBYtJpblXpJl2lU5WVs,Electric Guest,9,217586,1kcfGBb6kSrGqNIMW7rAlB,Oh Devil,5,62,track,0.119,0.904,217587,0.517,0.0147,7,0.176,-7.287,0,0.0598,96.999,4,audio_features,0.722
55TZx6GWm1hlEbRgkGRjma,They Want My Soul,ALBUM,0K1q0nXQ8is36PzOKAMbNe,Spoon,10,301960,7qCZgvV98j6RjUULW1s1it,Inside Out,2,62,track,0.427,0.637,301960,0.618,0.0971,0,0.0704,-4.746,1,0.0296,176.141,4,audio_features,0.499
2EvTMiJyF3H4BoxNCL4HLh,low kii savage,SINGLE,4u5smJBskI6Adzv08PuiUP,Kiiara,11,225882,6ZSO7kPn8IMJFymyticbJO,Gold,1,75,track,0.615,0.6,225882,0.412,0.0025,8,0.134,-9.343,1,0.344,113.049,5,audio_features,0.408
